TIME;SEX;GEO;AGE;Value
2019;Male;16: Centro;63 anos;171
2019;Male;16: Centro;64 anos;160
2019;Male;16: Centro;65 anos;199
2019;Male;16: Centro;66 anos;195
2019;Male;16: Centro;67 anos;209
2019;Male;16: Centro;68 anos;212
2019;Male;16: Centro;69 anos;244
2019;Male;16: Centro;70 anos;279
2019;Male;16: Centro;71 anos;271
2019;Male;16: Centro;72 anos;245
2019;Male;16: Centro;73 anos;272
2019;Male;16: Centro;74 anos;283
2019;Male;16: Centro;75 anos;315
2019;Male;16: Centro;76 anos;336
2019;Male;16: Centro;77 anos;348
2019;Male;16: Centro;78 anos;353
2019;Male;16: Centro;79 anos;384
2019;Male;16: Centro;80 anos;459
2019;Male;16: Centro;81 anos;447
2019;Male;16: Centro;82 anos;521
2019;Male;16: Centro;83 anos;559
2019;Male;16: Centro;84 anos;540
2019;Male;16: Centro;85 anos;550
2019;Male;16: Centro;86 anos;599
2019;Male;16: Centro;87 anos;499
2019;Male;16: Centro;88 anos;503
2019;Male;16: Centro;89 anos;463
2019;Male;16: Centro;90 anos;443
2019;Male;16: Centro;91 anos;409
2019;Male;16: Centro;92 anos;328
2019;Male;16: Centro;93 anos;272
2019;Male;16: Centro;94 anos;228
2019;Male;16: Centro;95 anos;197
2019;Male;16: Centro;96 anos;139
2019;Male;16: Centro;97 anos;100
2019;Male;16: Centro;98 anos;67
2019;Male;16: Centro;99 anos;36
2019;Male;16: Centro;100 anos;20
2019;Male;16: Centro;101 anos;10
2019;Male;16: Centro;102 anos;9
2019;Male;16: Centro;103 anos;8
2019;Male;16: Centro;104 anos;1
2019;Male;16: Centro;105 anos;0
2019;Male;16: Centro;106 anos;0
2019;Male;16: Centro;107 anos;0
2019;Male;16: Centro;108 anos;0
2019;Male;16: Centro;109 anos;0
2019;Male;16: Centro;110 anos;0
2019;Male;16: Centro;111 anos;0
2019;Male;16: Centro;112 anos;0
2019;Male;16: Centro;113 anos;0
2019;Male;16: Centro;114 anos;0
2019;Male;16: Centro;115 anos;0
2019;Male;16: Centro;116 anos;0
2019;Male;16: Centro;117 anos;0
2019;Male;16: Centro;118 anos;0
2019;Male;16: Centro;119 anos;0
2019;Male;16: Centro;120 e mais anos;0
2019;Male;17: Área Metropolitana de Lisboa;Menos de 1 ano;59
2019;Male;17: Área Metropolitana de Lisboa;1 ano;4
2019;Male;17: Área Metropolitana de Lisboa;2 anos;3
2019;Male;17: Área Metropolitana de Lisboa;3 anos;3
2019;Male;17: Área Metropolitana de Lisboa;4 anos;2
2019;Male;17: Área Metropolitana de Lisboa;5 anos;2
2019;Male;17: Área Metropolitana de Lisboa;6 anos;2
2019;Male;17: Área Metropolitana de Lisboa;7 anos;2
2019;Male;17: Área Metropolitana de Lisboa;8 anos;3
2019;Male;17: Área Metropolitana de Lisboa;9 anos;4
2019;Male;17: Área Metropolitana de Lisboa;10 anos;2
2019;Male;17: Área Metropolitana de Lisboa;11 anos;2
2019;Male;17: Área Metropolitana de Lisboa;12 anos;2
2019;Male;17: Área Metropolitana de Lisboa;13 anos;1
2019;Male;17: Área Metropolitana de Lisboa;14 anos;3
2019;Male;17: Área Metropolitana de Lisboa;15 anos;0
2019;Male;17: Área Metropolitana de Lisboa;16 anos;1
2019;Male;17: Área Metropolitana de Lisboa;17 anos;3
2019;Male;17: Área Metropolitana de Lisboa;18 anos;2
2019;Male;17: Área Metropolitana de Lisboa;19 anos;6
2019;Male;17: Área Metropolitana de Lisboa;20 anos;7
2019;Male;17: Área Metropolitana de Lisboa;21 anos;4
2019;Male;17: Área Metropolitana de Lisboa;22 anos;9
2019;Male;17: Área Metropolitana de Lisboa;23 anos;6
2019;Male;17: Área Metropolitana de Lisboa;24 anos;9
2019;Male;17: Área Metropolitana de Lisboa;25 anos;3
2019;Male;17: Área Metropolitana de Lisboa;26 anos;10
2019;Male;17: Área Metropolitana de Lisboa;27 anos;7
2019;Male;17: Área Metropolitana de Lisboa;28 anos;6
2019;Male;17: Área Metropolitana de Lisboa;29 anos;8
2019;Male;17: Área Metropolitana de Lisboa;30 anos;14
2019;Male;17: Área Metropolitana de Lisboa;31 anos;7
2019;Male;17: Área Metropolitana de Lisboa;32 anos;8
2019;Male;17: Área Metropolitana de Lisboa;33 anos;9
2019;Male;17: Área Metropolitana de Lisboa;34 anos;15
2019;Male;17: Área Metropolitana de Lisboa;35 anos;16
2019;Male;17: Área Metropolitana de Lisboa;36 anos;13
2019;Male;17: Área Metropolitana de Lisboa;37 anos;14
2019;Male;17: Área Metropolitana de Lisboa;38 anos;11
2019;Male;17: Área Metropolitana de Lisboa;39 anos;25
2019;Male;17: Área Metropolitana de Lisboa;40 anos;28
2019;Male;17: Área Metropolitana de Lisboa;41 anos;30
2019;Male;17: Área Metropolitana de Lisboa;42 anos;34
2019;Male;17: Área Metropolitana de Lisboa;43 anos;39
2019;Male;17: Área Metropolitana de Lisboa;44 anos;46
2019;Male;17: Área Metropolitana de Lisboa;45 anos;28
2019;Male;17: Área Metropolitana de Lisboa;46 anos;51
2019;Male;17: Área Metropolitana de Lisboa;47 anos;49
2019;Male;17: Área Metropolitana de Lisboa;48 anos;59
2019;Male;17: Área Metropolitana de Lisboa;49 anos;60
2019;Male;17: Área Metropolitana de Lisboa;50 anos;57
2019;Male;17: Área Metropolitana de Lisboa;51 anos;82
2019;Male;17: Área Metropolitana de Lisboa;52 anos;98
2019;Male;17: Área Metropolitana de Lisboa;53 anos;109
2019;Male;17: Área Metropolitana de Lisboa;54 anos;94
2019;Male;17: Área Metropolitana de Lisboa;55 anos;118
2019;Male;17: Área Metropolitana de Lisboa;56 anos;100
2019;Male;17: Área Metropolitana de Lisboa;57 anos;120
2019;Male;17: Área Metropolitana de Lisboa;58 anos;135
2019;Male;17: Área Metropolitana de Lisboa;59 anos;151
2019;Male;17: Área Metropolitana de Lisboa;60 anos;183
2019;Male;17: Área Metropolitana de Lisboa;61 anos;186
2019;Male;17: Área Metropolitana de Lisboa;62 anos;178
2019;Male;17: Área Metropolitana de Lisboa;63 anos;204
2019;Male;17: Área Metropolitana de Lisboa;64 anos;226
2019;Male;17: Área Metropolitana de Lisboa;65 anos;197
2019;Male;17: Área Metropolitana de Lisboa;66 anos;229
2019;Male;17: Área Metropolitana de Lisboa;67 anos;231
2019;Male;17: Área Metropolitana de Lisboa;68 anos;253
2019;Male;17: Área Metropolitana de Lisboa;69 anos;254
2019;Male;17: Área Metropolitana de Lisboa;70 anos;301
2019;Male;17: Área Metropolitana de Lisboa;71 anos;337
2019;Male;17: Área Metropolitana de Lisboa;72 anos;313
2019;Male;17: Área Metropolitana de Lisboa;73 anos;322
2019;Male;17: Área Metropolitana de Lisboa;74 anos;343
2019;Male;17: Área Metropolitana de Lisboa;75 anos;368
2019;Male;17: Área Metropolitana de Lisboa;76 anos;406
2019;Male;17: Área Metropolitana de Lisboa;77 anos;365
2019;Male;17: Área Metropolitana de Lisboa;78 anos;372
2019;Male;17: Área Metropolitana de Lisboa;79 anos;422
2019;Male;17: Área Metropolitana de Lisboa;80 anos;458
2019;Male;17: Área Metropolitana de Lisboa;81 anos;474
2019;Male;17: Área Metropolitana de Lisboa;82 anos;479
2019;Male;17: Área Metropolitana de Lisboa;83 anos;519
2019;Male;17: Área Metropolitana de Lisboa;84 anos;543
2019;Male;17: Área Metropolitana de Lisboa;85 anos;490
2019;Male;17: Área Metropolitana de Lisboa;86 anos;515
2019;Male;17: Área Metropolitana de Lisboa;87 anos;464
2019;Male;17: Área Metropolitana de Lisboa;88 anos;423
2019;Male;17: Área Metropolitana de Lisboa;89 anos;374
2019;Male;17: Área Metropolitana de Lisboa;90 anos;362
2019;Male;17: Área Metropolitana de Lisboa;91 anos;308
2019;Male;17: Área Metropolitana de Lisboa;92 anos;276
2019;Male;17: Área Metropolitana de Lisboa;93 anos;201
2019;Male;17: Área Metropolitana de Lisboa;94 anos;193
2019;Male;17: Área Metropolitana de Lisboa;95 anos;129
2019;Male;17: Área Metropolitana de Lisboa;96 anos;105
2019;Male;17: Área Metropolitana de Lisboa;97 anos;67
2019;Male;17: Área Metropolitana de Lisboa;98 anos;41
2019;Male;17: Área Metropolitana de Lisboa;99 anos;37
2019;Male;17: Área Metropolitana de Lisboa;100 anos;22
