"SEX","GEO","TIME","AGE","UNIT","Value","Flag and Footnotes"
"Males","Portugal","1992","25 years","Number","74,459",""
"Males","Portugal","1992","26 years","Number","73,618",""
"Males","Portugal","1992","27 years","Number","73,368",""
"Males","Portugal","1992","28 years","Number","71,956",""
"Males","Portugal","1992","29 years","Number","70,904",""
"Males","Portugal","1992","30 years","Number","70,486",""
"Males","Portugal","1992","31 years","Number","71,756",""
"Males","Portugal","1992","32 years","Number","68,892",""
"Males","Portugal","1992","33 years","Number","68,091",""
"Males","Portugal","1992","34 years","Number","68,800",""
"Males","Portugal","1992","35 years","Number","65,074",""
"Males","Portugal","1992","36 years","Number","66,439",""
"Males","Portugal","1992","37 years","Number","65,658",""
"Males","Portugal","1992","38 years","Number","63,168",""
"Males","Portugal","1992","39 years","Number","64,352",""
"Males","Portugal","1992","40 years","Number","64,195",""
"Males","Portugal","1992","41 years","Number","64,959",""
"Males","Portugal","1992","42 years","Number","63,684",""
"Males","Portugal","1992","43 years","Number","64,245",""
"Males","Portugal","1992","44 years","Number","59,475",""
"Males","Portugal","1992","45 years","Number","56,780",""
"Males","Portugal","1992","46 years","Number","59,859",""
"Males","Portugal","1992","47 years","Number","56,013",""
"Males","Portugal","1992","48 years","Number","54,582",""
"Males","Portugal","1992","49 years","Number","52,706",""
"Males","Portugal","1992","50 years","Number","49,429",""
"Males","Portugal","1992","51 years","Number","51,906",""
"Males","Portugal","1992","52 years","Number","53,447",""
"Males","Portugal","1992","53 years","Number","54,166",""
"Males","Portugal","1992","54 years","Number","53,045",""
"Males","Portugal","1992","55 years","Number","53,926",""
"Males","Portugal","1992","56 years","Number","55,011",""
"Males","Portugal","1992","57 years","Number","51,851",""
"Males","Portugal","1992","58 years","Number","51,825",""
"Males","Portugal","1992","59 years","Number","52,797",""
"Males","Portugal","1992","60 years","Number","52,324",""
"Males","Portugal","1992","61 years","Number","52,070",""
"Males","Portugal","1992","62 years","Number","48,882",""
"Males","Portugal","1992","63 years","Number","49,003",""
"Males","Portugal","1992","64 years","Number","45,884",""
"Males","Portugal","1992","65 years","Number","47,296",""
"Males","Portugal","1992","66 years","Number","45,604",""
"Males","Portugal","1992","67 years","Number","44,258",""
"Males","Portugal","1992","68 years","Number","41,655",""
"Males","Portugal","1992","69 years","Number","39,102",""
"Males","Portugal","1992","70 years","Number","37,498",""
"Males","Portugal","1992","71 years","Number","36,559",""
"Males","Portugal","1992","72 years","Number","30,381",""
"Males","Portugal","1992","73 years","Number","26,045",""
"Males","Portugal","1992","74 years","Number","26,058",""
"Males","Portugal","1992","75 years","Number","24,780",""
"Males","Portugal","1992","76 years","Number","23,787",""
"Males","Portugal","1992","77 years","Number","22,797",""
"Males","Portugal","1992","78 years","Number","20,703",""
"Males","Portugal","1992","79 years","Number","18,835",""
"Males","Portugal","1992","80 years","Number","16,875",""
"Males","Portugal","1992","81 years","Number","15,457",""
"Males","Portugal","1992","82 years","Number","12,577",""
"Males","Portugal","1992","83 years","Number","9,909",""
"Males","Portugal","1992","84 years","Number","8,528",""
"Males","Portugal","1992","85 years","Number","6,776",""
"Males","Portugal","1992","86 years","Number","5,084",""
"Males","Portugal","1992","87 years","Number","4,166",""
"Males","Portugal","1992","88 years","Number","3,232",""
"Males","Portugal","1992","89 years","Number","2,435",""
"Males","Portugal","1992","90 years","Number","2,007",""
"Males","Portugal","1992","91 years","Number","1,311",""
"Males","Portugal","1992","92 years","Number","785",""
"Males","Portugal","1992","93 years","Number","516",""
"Males","Portugal","1992","94 years","Number","438",""
"Males","Portugal","1992","95 years","Number","296",""
"Males","Portugal","1992","96 years","Number","203",""
"Males","Portugal","1992","97 years","Number","143",""
"Males","Portugal","1992","98 years","Number","94",""
"Males","Portugal","1992","99 years","Number","78",""
"Males","Portugal","1992","Open-ended age class","Number","242",""
"Males","Portugal","1993","Less than 1 year","Number","57,971",""
"Males","Portugal","1993","1 year","Number","58,406",""
"Males","Portugal","1993","2 years","Number","55,454",""
"Males","Portugal","1993","3 years","Number","56,397",""
"Males","Portugal","1993","4 years","Number","54,707",""
"Males","Portugal","1993","5 years","Number","56,122",""
"Males","Portugal","1993","6 years","Number","57,707",""
"Males","Portugal","1993","7 years","Number","61,030",""
"Males","Portugal","1993","8 years","Number","64,633",""
"Males","Portugal","1993","9 years","Number","66,928",""
"Males","Portugal","1993","10 years","Number","69,794",""
"Males","Portugal","1993","11 years","Number","71,319",""
"Males","Portugal","1993","12 years","Number","74,817",""
"Males","Portugal","1993","13 years","Number","75,959",""
"Males","Portugal","1993","14 years","Number","77,580",""
"Males","Portugal","1993","15 years","Number","82,457",""
"Males","Portugal","1993","16 years","Number","86,372",""
"Males","Portugal","1993","17 years","Number","87,714",""
"Males","Portugal","1993","18 years","Number","85,501",""
"Males","Portugal","1993","19 years","Number","83,318",""
"Males","Portugal","1993","20 years","Number","83,340",""
"Males","Portugal","1993","21 years","Number","81,582",""
"Males","Portugal","1993","22 years","Number","80,054",""
"Males","Portugal","1993","23 years","Number","76,894",""
"Males","Portugal","1993","24 years","Number","75,716",""
"Males","Portugal","1993","25 years","Number","74,300",""
"Males","Portugal","1993","26 years","Number","73,893",""
"Males","Portugal","1993","27 years","Number","73,214",""
"Males","Portugal","1993","28 years","Number","73,086",""
"Males","Portugal","1993","29 years","Number","71,693",""
"Males","Portugal","1993","30 years","Number","70,782",""
"Males","Portugal","1993","31 years","Number","70,451",""
"Males","Portugal","1993","32 years","Number","71,604",""
"Males","Portugal","1993","33 years","Number","68,701",""
"Males","Portugal","1993","34 years","Number","67,984",""
"Males","Portugal","1993","35 years","Number","68,624",""
"Males","Portugal","1993","36 years","Number","65,072",""
"Males","Portugal","1993","37 years","Number","66,359",""
"Males","Portugal","1993","38 years","Number","65,468",""
"Males","Portugal","1993","39 years","Number","63,063",""
"Males","Portugal","1993","40 years","Number","64,264",""
"Males","Portugal","1993","41 years","Number","64,183",""
"Males","Portugal","1993","42 years","Number","64,726",""
"Males","Portugal","1993","43 years","Number","63,468",""
"Males","Portugal","1993","44 years","Number","64,072",""
"Males","Portugal","1993","45 years","Number","59,066",""
"Males","Portugal","1993","46 years","Number","56,623",""
"Males","Portugal","1993","47 years","Number","59,535",""
"Males","Portugal","1993","48 years","Number","55,745",""
"Males","Portugal","1993","49 years","Number","54,275",""
"Males","Portugal","1993","50 years","Number","52,263",""
"Males","Portugal","1993","51 years","Number","49,240",""
"Males","Portugal","1993","52 years","Number","51,575",""
"Males","Portugal","1993","53 years","Number","53,121",""
"Males","Portugal","1993","54 years","Number","53,814",""
"Males","Portugal","1993","55 years","Number","52,599",""
"Males","Portugal","1993","56 years","Number","53,705",""
"Males","Portugal","1993","57 years","Number","54,587",""
"Males","Portugal","1993","58 years","Number","51,533",""
"Males","Portugal","1993","59 years","Number","51,535",""
"Males","Portugal","1993","60 years","Number","52,416",""
"Males","Portugal","1993","61 years","Number","51,839",""
